Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,"Express Logistics, Ebonyi LOGISTICS - Novacare Ltd - NL",Nos,48,86400,49,88200,0,0,1,1800,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,"Express Logistics, Ebonyi LOGISTICS - Novacare Ltd - NL",Nos,51,102000,55,110000,0,0,4,8000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Oluwadamilare Emmanuel Logistics - Novacare Ltd - NL,Nos,29,52200,33,59400,0,0,4,7200,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,ADICHA LOGISTICS - Novacare Ltd - NL,Nos,9,16200,11,19800,0,0,2,3600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,ADICHA LOGISTICS - Novacare Ltd - NL,Nos,-2,-4000,6,12000,0,0,8,16000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Changfa Jesse David - Novacare Ltd - NL,Nos,16,28800,16,28800,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Changfa Jesse David - Novacare Ltd - NL,Nos,2,4000,2,4000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Okoli Nnaemeka Augustine Logistics - Novacare Ltd - NL,Nos,17,31166.61,31,56833.23,0,0,14,25666.62,1833.33,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Okoli Nnaemeka Augustine Logistics - Novacare Ltd - NL,Nos,4,8000,15,30000,0,0,11,22000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,ZIBRA & CO LTD LOGISTICS - Novacare Ltd - NL,Nos,7,12600,16,28800,0,0,9,16200,1800,0,Novacare Ltd
